date,hospitalCases
29/07/2020,927
28/07/2020,944
27/07/2020,945
26/07/2020,965
25/07/2020,977
24/07/2020,1018
23/07/2020,1095
22/07/2020,1305
21/07/2020,1188
20/07/2020,1278
19/07/2020,1301
18/07/2020,1321
17/07/2020,1346
16/07/2020,1348
15/07/2020,1489
14/07/2020,1506
13/07/2020,1612
12/07/2020,1611
11/07/2020,1640
10/07/2020,1746
09/07/2020,1801
08/07/2020,1888
07/07/2020,2010
06/07/2020,2099
05/07/2020,2100
04/07/2020,2152
03/07/2020,2294
02/07/2020,2410
01/07/2020,2509
30/06/2020,2665
29/06/2020,3024
28/06/2020,2818
27/06/2020,2819
26/06/2020,2859
25/06/2020,3066
24/06/2020,3223
23/06/2020,3288
22/06/2020,3417
21/06/2020,3373
20/06/2020,3423
19/06/2020,3575
18/06/2020,3681
17/06/2020,3826
16/06/2020,3934
15/06/2020,3920
14/06/2020,3973
13/06/2020,4000
12/06/2020,4136
11/06/2020,4179
10/06/2020,4447
09/06/2020,4665
08/06/2020,4830
07/06/2020,4820
06/06/2020,5004
05/06/2020,5213
04/06/2020,5398
03/06/2020,5600
02/06/2020,5827
01/06/2020,5954
31/05/2020,5933
30/05/2020,5972
29/05/2020,6250
28/05/2020,6528
27/05/2020,6836
26/05/2020,7305
25/05/2020,7448
24/05/2020,7415
23/05/2020,7428
22/05/2020,7761
21/05/2020,7903
20/05/2020,8115
19/05/2020,8518
18/05/2020,8668
17/05/2020,8611
16/05/2020,8643
15/05/2020,9079
14/05/2020,9231
13/05/2020,9602
12/05/2020,9791
11/05/2020,10109
10/05/2020,9893
09/05/2020,10176
08/05/2020,10249
07/05/2020,10726
06/05/2020,11227
05/05/2020,11754
04/05/2020,12020
03/05/2020,12119
02/05/2020,12314
01/05/2020,12623
30/04/2020,12922
29/04/2020,13224
28/04/2020,13565
27/04/2020,14255
26/04/2020,14174
25/04/2020,14202
24/04/2020,14642
23/04/2020,15402
22/04/2020,16018
21/04/2020,16517
20/04/2020,16654
19/04/2020,16928
18/04/2020,16850
17/04/2020,16728
16/04/2020,17783
15/04/2020,17934
14/04/2020,18552
